cluster,n_materials,dominant_crystal_system_from_sg,crystal_system_count,crystal_system_fraction,top_crystal_systems_from_sg,representative_space_group,space_group_count,space_group_fraction,space_group_min,space_group_max,space_group_range,top_space_groups,dominant_pearson_symbol,pearson_symbol_count,pearson_symbol_fraction,top_pearson_symbols,dominant_pearson_crystal_family,pearson_crystal_family_count,pearson_crystal_family_fraction,top_pearson_crystal_families,dominant_bravais_lattice,bravais_lattice_count,bravais_lattice_fraction,top_bravais_lattices,pearson_atom_count_min,pearson_atom_count_max,pearson_atom_count_range,dominant_wyckoff_sequence,wyckoff_sequence_count,wyckoff_sequence_fraction,top_wyckoff_sequences,dominant_wyckoff_position,wyckoff_position_count,wyckoff_position_fraction,top_wyckoff_positions,c_a_ratio_min,c_a_ratio_max,c_a_ratio_mean,c_a_ratio_median,c_a_ratio_q25,c_a_ratio_q75,c_a_ratio_range,beta_angle_min,beta_angle_max,beta_angle_mean,beta_angle_median,beta_angle_q25,beta_angle_q75,beta_angle_range
0,2039,Cubic,2039,1.0,"Cubic (2039, 100.0%)",225,2039,1.0,225,225,225-225,"225 (2039, 100.0%)",cF40,2039,1.0,"cF40 (2039, 100.0%)",Cubic,2039,1.0,"Cubic (2039, 100.0%)",F (face-centered),2039,1.0,"F (face-centered) (2039, 100.0%)",40,40,40-40,ecba,2018,0.9897008337420304,"ecba (2018, 99.0%); dcba (21, 1.0%)",a,2039,0.25,"a (2039, 25.0%); b (2039, 25.0%); c (2039, 25.0%); e (2018, 24.7%); d (21, 0.3%)",1.0,1.0,1.0,1.0,1.0,1.0,1.000-1.000,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
1,2442,Monoclinic,1807,0.73996723996724,"Monoclinic (1807, 74.0%); Triclinic (307, 12.6%); Orthorhombic (236, 9.7%); Tetragonal (53, 2.2%); Cubic (39, 1.6%)",12,882,0.36117936117936117,1,229,1-229,"12 (882, 36.1%); 8 (295, 12.1%); 1 (159, 6.5%); 2 (148, 6.1%); 11 (132, 5.4%)",mC12,384,0.15724815724815724,"mC12 (384, 15.7%); mC20 (343, 14.0%); mC14 (190, 7.8%); mC18 (174, 7.1%); mP8 (151, 6.2%)",Monoclinic,1807,0.73996723996724,"Monoclinic (1807, 74.0%); Triclinic (307, 12.6%); Orthorhombic (236, 9.7%); Tetragonal (53, 2.2%); Cubic (39, 1.6%)",C (base-centered C),1568,0.6420966420966421,"C (base-centered C) (1568, 64.2%); P (primitive) (765, 31.3%); I (body-centered) (78, 3.2%); F (face-centered) (31, 1.3%)",1,20,1-20,i3,194,0.07944307944307945,"i3 (194, 7.9%); i5 (117, 4.8%); a6 (116, 4.8%); i3a (114, 4.7%); a10 (74, 3.0%)",a,4710,0.4271721385815346,"a (4710, 42.7%); i (3004, 27.2%); e (784, 7.1%); b (782, 7.1%); c (575, 5.2%); f (289, 2.6%); d (207, 1.9%); g (166, 1.5%)",0.1957896700023414,11.974710798650843,1.0879985618020933,0.928308178908538,0.6381056692871001,1.2336408979390092,0.196-11.975,60.12053477999999,134.9920684523606,104.3807555936809,104.60407140598394,90.97991978910578,115.30128252888076,60.12-134.99
2,632,Tetragonal,632,1.0,"Tetragonal (632, 100.0%)",123,588,0.930379746835443,123,131,123-131,"123 (588, 93.0%); 131 (44, 7.0%)",tP8,146,0.2310126582278481,"tP8 (146, 23.1%); tP6 (129, 20.4%); tP7 (109, 17.2%); tP10 (84, 13.3%); tP9 (79, 12.5%)",Tetragonal,632,1.0,"Tetragonal (632, 100.0%)",P (primitive),632,1.0,"P (primitive) (632, 100.0%)",4,10,4-10,icba,84,0.13291139240506328,"icba (84, 13.3%); ihdba (46, 7.3%); h2c (40, 6.3%); idcba (38, 6.0%); ida (35, 5.5%)",a,440,0.1639955273947074,"a (440, 16.4%); h (414, 15.4%); b (385, 14.3%); c (348, 13.0%); d (333, 12.4%); i (315, 11.7%); g (174, 6.5%); e (144, 5.4%)",0.4283232316316103,7.265433270752201,2.1534466373341092,1.962009565917088,1.600636985664386,2.45712808713279,0.428-7.265,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
3,209,Cubic,209,1.0,"Cubic (209, 100.0%)",216,209,1.0,216,216,216-216,"216 (209, 100.0%)",cF16,209,1.0,"cF16 (209, 100.0%)",Cubic,209,1.0,"Cubic (209, 100.0%)",F (face-centered),209,1.0,"F (face-centered) (209, 100.0%)",16,16,16-16,dcba,209,1.0,"dcba (209, 100.0%)",a,209,0.25,"a (209, 25.0%); b (209, 25.0%); c (209, 25.0%); d (209, 25.0%)",1.0,1.0,1.0,1.0,1.0,1.0,1.000-1.000,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
4,3960,Cubic,3960,1.0,"Cubic (3960, 100.0%)",225,3960,1.0,225,225,225-225,"225 (3960, 100.0%)",cF16,3960,1.0,"cF16 (3960, 100.0%)",Cubic,3960,1.0,"Cubic (3960, 100.0%)",F (face-centered),3960,1.0,"F (face-centered) (3960, 100.0%)",16,16,16-16,cba,3960,1.0,"cba (3960, 100.0%)",a,3960,0.3333333333333333,"a (3960, 33.3%); b (3960, 33.3%); c (3960, 33.3%)",1.0,2.4100031474343444,1.0003560614008673,1.0,1.0,1.0,1.000-2.410,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
5,1077,Hexagonal,1077,1.0,"Hexagonal (1077, 100.0%)",194,1075,0.9981429897864438,182,194,182-194,"194 (1075, 99.8%); 182 (2, 0.2%)",hP8,1077,1.0,"hP8 (1077, 100.0%)",Hexagonal/Trigonal family,1077,1.0,"Hexagonal/Trigonal family (1077, 100.0%)",P (primitive),1077,1.0,"P (primitive) (1077, 100.0%)",8,8,8-8,hd,792,0.7353760445682451,"hd (792, 73.5%); fda (81, 7.5%); hc (71, 6.6%); fca (65, 6.0%); fcb (34, 3.2%)",d,885,0.3746824724809483,"d (885, 37.5%); h (863, 36.5%); f (207, 8.8%); c (178, 7.5%); a (163, 6.9%); b (55, 2.3%); e (9, 0.4%); g (2, 0.1%)",0.3214224268727044,5.760871184152261,1.256259115063004,0.806664141891192,0.7827721727768985,0.8735589782761257,0.321-5.761,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
6,1862,Orthorhombic,1862,1.0,"Orthorhombic (1862, 100.0%)",71,1862,1.0,71,71,71-71,"71 (1862, 100.0%)",oI8,1840,0.9881847475832438,"oI8 (1840, 98.8%); oI6 (15, 0.8%); oI4 (4, 0.2%); oI2 (3, 0.2%)",Orthorhombic,1862,1.0,"Orthorhombic (1862, 100.0%)",I (body-centered),1862,1.0,"I (body-centered) (1862, 100.0%)",2,8,2-8,eba,1579,0.8480128893662728,"eba (1579, 84.8%); gda (246, 13.2%); ia (11, 0.6%); ica (5, 0.3%); a (3, 0.2%)",a,1855,0.33369311027163157,"a (1855, 33.4%); b (1582, 28.5%); e (1579, 28.4%); d (255, 4.6%); g (249, 4.5%); i (23, 0.4%); c (10, 0.2%); j (4, 0.1%)",1.151605405210392,4.1189592681640645,1.5831553880066802,1.5438107819619291,1.467792112315244,1.6332347520066581,1.152-4.119,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
7,1196,Cubic,1196,1.0,"Cubic (1196, 100.0%)",221,1196,1.0,221,221,221-221,"221 (1196, 100.0%)",cP5,1190,0.9949832775919732,"cP5 (1190, 99.5%); cP6 (6, 0.5%)",Cubic,1196,1.0,"Cubic (1196, 100.0%)",P (primitive),1196,1.0,"P (primitive) (1196, 100.0%)",5,6,5-6,cba,916,0.7658862876254181,"cba (916, 76.6%); dba (273, 22.8%); dc (6, 0.5%); c2ba (1, 0.1%)",a,1190,0.3321239185040469,"a (1190, 33.2%); b (1190, 33.2%); c (924, 25.8%); d (279, 7.8%)",0.7073813107393677,1.22550296028315,1.0001289467607086,1.0,1.0,1.0,0.707-1.226,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
8,484,Hexagonal,303,0.6260330578512396,"Hexagonal (303, 62.6%); Trigonal (181, 37.4%)",187,152,0.3140495867768595,152,191,152-191,"187 (152, 31.4%); 191 (150, 31.0%); 164 (101, 20.9%); 156 (76, 15.7%); 152 (3, 0.6%)",hP3,396,0.8181818181818182,"hP3 (396, 81.8%); hP4 (65, 13.4%); hP2 (13, 2.7%); hP1 (10, 2.1%)",Hexagonal/Trigonal family,484,1.0,"Hexagonal/Trigonal family (484, 100.0%)",P (primitive),484,1.0,"P (primitive) (484, 100.0%)",1,4,1-4,da,200,0.4132231404958678,"da (200, 41.3%); fcb (36, 7.4%); edb (30, 6.2%); fda (27, 5.6%); cba (20, 4.1%)",a,376,0.30744071954210955,"a (376, 30.7%); d (297, 24.3%); b (194, 15.9%); c (182, 14.9%); f (107, 8.7%); e (53, 4.3%); h (6, 0.5%); g (5, 0.4%)",0.3452517468708025,8.102936646304032,1.3061859514646406,1.110118181116143,0.9101254122849954,1.5969291731558013,0.345-8.103,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
9,432,Trigonal,432,1.0,"Trigonal (432, 100.0%)",166,432,1.0,166,166,166-166,"166 (432, 100.0%)",hR18,142,0.3287037037037037,"hR18 (142, 32.9%); hR24 (89, 20.6%); hR15 (84, 19.4%); hR21 (74, 17.1%); hR30 (35, 8.1%)",Hexagonal/Trigonal family,432,1.0,"Hexagonal/Trigonal family (432, 100.0%)",R (rhombohedral),432,1.0,"R (rhombohedral) (432, 100.0%)",15,30,15-30,c3ba,67,0.1550925925925926,"c3ba (67, 15.5%); c2a (66, 15.3%); dca (58, 13.4%); c3a (39, 9.0%); c3 (30, 6.9%)",c,966,0.5879488740109555,"c (966, 58.8%); a (325, 19.8%); b (220, 13.4%); d (79, 4.8%); e (36, 2.2%); h (16, 1.0%); f (1, 0.1%)",0.9480240017872898,23.191760608739663,6.731239335356436,6.226750451081141,2.492527872487911,9.857065424444324,0.948-23.192,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
